Central Atom
Cu1.0
Cu2_2_82
Cu1.0
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_102
Cu2_2_242
Cu2_2_243
Cu2_2_382
Cu2_2_388
Cu2_2_82
Cu2_2_91
Cu2_365
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_119
Cu2_2_388
Cu2_2_82
Cu2_2_91
Cu2_365
Cu2_400
Cu2_96
Cu2_97
Cu1.0
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_2_242
Cu2_2_382
Cu2_2_388
Cu2_2_82
Cu2_2_97
Cu2_97
Cu1_2_82
Cu2_2_82
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_119
Cu2_242
Cu2_2_243
Cu2_2_382
Cu2_2_388
Cu2_2_82
Cu2_2_97
Cu2_400
Cu2_82
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_102
Cu2_2_242
Cu2_2_243
Cu2_2_382
Cu2_2_388
Cu2_2_91
Cu2_2_97
Cu2_365
Cu2_82
Cu2_97
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_102
Cu2_2_382
Cu2_400
Cu2_82
Cu2_96
Cu1_2_82
Cu2_2_82
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_102
Cu2_119
Cu2_242
Cu2_2_82
Cu2_2_91
Cu2_400
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_119
Cu2_2_388
Cu2_2_82
Cu2_2_91
Cu2_365
Cu2_400
Cu2_96
Cu2_97
Cu1_120
Cu1_243
Cu1_2_101
Cu1_2_118
Cu1_2_242
Cu1_2_386
Cu1_2_392
Cu1_2_393
Cu1_2_399
Cu1_2_82
Cu1_2_95
Cu1_84
Cu1_97
Cu2_102
Cu2_2_243
Cu2_2_388
Cu2_365
